Algorithm,Cities,Best Distance,Best Fitness,Average Distance,Computation Time
Particle_Swarm_case1,12,4056.680944306127,4056.680944306127,4056.6809443061275,4.218976426124573
Particle_Swarm_case1,36,7508.69163546614,7508.69163546614,8077.1584432634145,13.979578614234924
Particle_Swarm_case1,52,9529.127799272233,9529.127799272233,10510.389457590465,24.953474354743957
