Algorithm,Cities,Best Distance,Best Fitness,Average Distance,Computation Time
Genetic Algorithm,12,4056.680944306127,4056.680944306127,4056.6809443061275,5.2726640701293945
Genetic Algorithm,36,6609.75370458788,6609.75370458788,7017.017876696971,13.662157940864564
Genetic Algorithm,52,8036.425770756836,8036.425770756836,8383.850455692926,20.023772954940796
