Algorithm,Cities,Best Distance,Best Fitness,Average Distance,Computation Time
Particle Swarm Optimization,12,4056.680944306128,4056.680944306128,4363.620273161467,0.20801849365234376
Particle Swarm Optimization,36,10725.999097219212,10725.999097219212,11799.48867236804,0.46113388538360595
Particle Swarm Optimization,52,16190.685617204423,16190.685617204423,17038.470669872324,0.6748581171035767
