Algorithm,Cities,Best Distance,Best Fitness,Average Distance,Computation Time
Ant Colony Optimization,12,4070.1261991997803,4070.1261991997803,4085.095721574984,0.21653177738189697
Ant Colony Optimization,36,6662.427213519514,6662.427213519514,6713.874761876194,1.435237979888916
Ant Colony Optimization,52,7781.670715110722,7781.670715110722,7842.578939640545,3.012811279296875
